Code,Company Name
IRSX,Aviana Sinar Abadi 
PACK,Abadi Nusantara Hijau Investam
VAST,Vastland Indonesia 
CHIP,Pelita Teknologi Global 
HALO,Haloni Jane 
KING,Hoffmen Cleanindo 
PGEO,Pertamina Geothermal Energy
FUTR,Futura Energi Global 
HILL,Hillcon 
BDKR,Berdikari Pondasi Perkasa 
PTMP,Mitra Pack 
SAGE,Saptausaha Gemilangindah 
TRON,Teknologi Karya Digital Nusa T
CUAN,Petrindo Jaya Kreasi 
NSSS,Nusantara Sawit Sejahtera 
GTRA,Grahaprima Suksesmandiri 
HAJJ,Arsy Buana Travelindo 
PIPA,Multi Makmur Lemindo 
NCKL,Trimegah Bangun Persada 
MENN,Menn Teknologi Indonesia 
AWAN,Era Digital Media 
MBMA,Merdeka Battery Materials 
RAAM,Tripar Multivision Plus 
DOOH,Era Media Sejahtera 
JATI,Informasi Teknologi Indonesia 
TYRE,King Tire Indonesia 
MPXL,MPX Logistics International
SMIL,Sarana Mitra Luas 
KLAS,Pelayaran Kurnia Lautan Semest
MAXI,Maxindo Karya Anugerah 
VKTR,VKTR Teknologi Mobilitas 
RELF,Graha Mitra Asia 
AMMN,Amman Mineral Internasional
CRSN,Carsurin 
GRPM,Graha Prima Mentari 
WIDI,Widiant Jaya Krenindo 
TGUK,Platinum Wahab Nusantara 
INET,Sinergi Inti Andalan Prima 
MAHA,Mandiri Herindo Adiperkasa 
RMKO,Royaltama Mulia Kontraktorindo
CNMA,Nusantara Sejahtera Raya 
FOLK,Multi Garam Utama 
HBAT,Minahasa Membangun Hebat 
GRIA,Ingria Pratama Capitalindo 
PPRI,Paperocks Indonesia 
ERAL,Sinar Eka Selaras 
CYBR,ITSEC Asia 
MUTU,Mutuagung Lestari 
LMAX,Lupromax Pelumas Indonesia 
HUMI,Humpuss Maritim Internasional 
MSIE,Multisarana Intan Eduka 
RSCH,Charlie Hospital Semarang 
BABY,Multitrend Indo 
AEGS,Anugerah Spareparts Sejahtera 
IOTF,Sumber Sinergi Makmur 
KOCI,Kokoh Exa Nusantara 
PTPS,Pulau Subur 
BREN,Barito Renewables Energy 
STRK,Lovina Beach Brewery 
KOKA,Koka Indonesia 
LOPI,Logisticsplus International
UDNG,Agro Bahari Nusantara 
RGAS,Kian Santang Muliatama 
MSTI,Mastersystem Infotama 
IKPM,Ikapharmindo Putramas 
AYAM,Janu Putra Sejahtera 
SURI,Maja Agung Latexindo 
ASLI,Asri Karya Lestari 
CGAS,Citra Nusantara Gemilang 
NICE,Adhi Kartiko Pratama 
MSJA,Multi Spunindo Jaya 
SMLE,Sinergi Multi Lestarindo 
ACRO,Samcro Hyosung Adilestari 
MANG,Manggung Polahraya 
GRPH,Griptha Putra Persada 
SMGA,Sumber Mineral Global Abadi
UNTD,Terang Dunia Internusa 
TOSK,Topindo Solusi Komunika 
MPIX,Mitra Pedagang Indonesia 
ALII,Ancara Logistics Indonesia 
MKAP,Multikarya Asia Pasifik Raya T
MEJA,Harta Djaya Karya 
LIVE,Homeco Victoria Makmur 
HYGN,Ecocare Indo Pasifik 
BAIK,Bersama Mencapai Puncak 
VISI,Satu Visi Putra 
AREA,Dunia Virtual Online 
MHKI,Multi Hanna Kreasindo 
ATLA,Atlantis Subsea Indonesia 
DATA,Remala Abadi 
SOLA,Xolare RCR Energy 
BATR,Benteng Api Technic 
SPRE,Soraya Berjaya Indonesia 
PART,Cipta Perdana Lancar 
GOLF,Intra Golflink Resorts 
ISEA,Indo American Seafoods 
BLES,Superior Prima Sukses 
GUNA,Gunanusa Eramandiri 
LABS,UBC Medical Indonesia 
DOSS,Global Sukses Digital 
NEST,Esta Indonesia 
PTMR,Master Print 
VERN,Verona Indah Pictures 
DAAZ,Daaz Bara Lestari 
BOAT,Newport Marine Services 
NAIK,Adiwarna Anugerah Abadi 
AADI,Adaro Andalan Indonesia 
MDIY,Daya Intiguna Yasa 
KSIX,Kentanix Supra International T
RATU,Raharja Energi Cepu 
YOII,Asuransi Digital Bersama 
HGII,Hero Global Investment 
BRRC,Raja Roti Cemerlang 
DGWG,Delta Giri Wacana 
BBLD,Buana Finance 
BBMD,Bank Mestika Dharma 
BBNI,Bank Negara Indonesia (Persero
BBRI,Bank Rakyat Indonesia (Persero
BBRM,Pelayaran Nasional Bina Buana 
BBTN,Bank Tabungan Negara (Persero)
BBYB,Bank Neo Commerce 
GMFI,Garuda Maintenance Facility Ae
MTWI,Malacca Trust Wuwungan Insuran
ZINC,Kapuas Prima Coal 
MCAS,M Cash Integrasi 
CBDK,Bangun Kosambi Sukses 
OBAT,Brigit Biofarmaka Teknologi
MINE,Sinar Terang Mandiri 
KAQI,Jantra Grupo Indonesia 
YUPI,Yupi Indo Jelly Gum 
FORE,Fore Kopi Indonesia 
MDLA,Medela Potentia 
DKHH,Cipta Sarana Medika 
SOSS,Shield On Service 
DEAL,Dewata Freightinternational
POLA,Pool Advista Finance 
DIVA,Distribusi Voucher Nusantara T
LUCK,Sentral Mitra Informatika 
URBN,Urban Jakarta Propertindo 
SOTS,Satria Mega Kencana 
AMAN,Makmur Berkah Amanda 
CARE,Metro Healthcare Indonesia 
SAMF,Saraswanti Anugerah Makmur 
SBAT,Sejahtera Bintang Abadi Textil
KBAG,Karya Bersama Anugerah 
CBMF,Cahaya Bintang Medan 
RONY,Aesler Grup Internasional 
RAFI,Sari Kreasi Boga 
KKES,Kusuma Kemindo Sentosa 
ELPI,Pelayaran Nasional Ekalya Purn
EURO,Estee Gold Feet 
KLIN,Klinko Karya Imaji 
TOOL,Rohartindo Nusantara Luas 
